id,title,release_date,original_language,vote_average,vote_count,popularity,runtime,adult,genres,overview
693134,Dune: Part Two,2024-02-27,en,8.153,5774,249.07,167,False,"Science Fiction, Adventure","Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee."
972614,Knox Goes Away,2024-03-15,en,6.914,285,231.026,114,False,"Crime, Thriller, Action","A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind."
653346,Kingdom of the Planet of the Apes,2024-05-08,en,7.104,3333,236.021,145,False,"Science Fiction, Adventure, Action","Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike."
98,Gladiator,2000-05-04,en,8.218,18930,213.303,155,False,"Action, Drama, Adventure","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences."
1165466,Wake Up,2024-05-08,en,7.203,79,206.4,80,False,"Horror, Thriller, Action","A group of young activists set out to make an environmental statement by vandalizing a home superstore as it closes. But their plan goes terribly wrong when they become trapped inside and must face a deranged security guard with a gruesome passion for primitive hunting. As the night fills with violence and terror, the teenagers find themselves in a desperate fight for their lives."
1232449,Young Hearts,2024-10-26,nl,8.6,19,287.329,100,False,"Drama, Family","Fourteen-year-old Elias increasingly feels like an outsider in his village. When he meets his new neighbour of the same age, Alexander, Elias is confronted with his burgeoning sexuality."
507241,The Killer's Game,2024-09-12,en,6.7,152,218.049,104,False,"Action, Comedy, Crime","When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late."
976734,Canary Black,2024-10-10,en,6.351,305,209.096,103,False,"Action, Thriller, Crime","Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want."
1144962,Transmorphers: Mech Beasts,2023-06-09,en,5.344,32,218.674,84,False,"Action, Science Fiction","20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet."
1355755,An Almost Christmas Story,2024-10-14,en,7.3,39,199.129,24,False,"Animation, Adventure, Fantasy, Family","A young owl meets a lost little girl in New York City. Together, they try to get home for Christmas."
385687,Fast X,2023-05-17,en,7.1,5628,254.95,142,False,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
786892,Furiosa: A Mad Max Saga,2024-05-22,en,7.52,3591,206.452,149,False,"Action, Science Fiction, Adventure","As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home."
1296753,Remnant,2024-06-30,en,4.8,8,193.233,112,False,"Science Fiction, Horror, Thriller","Grace is a young woman whose life has been turned upside down by tragedy. When she returns home to the family farm to rebuild her shattered life, her world begins to unravel as a series of strange events haunt her, pushing Grace to the edge of madness. A mysterious figure lurks in the shadows and a ghostly woman appears in the darkness of night. Is Grace imagining these apparitions, or are they a warning of a nightmare still to come?"
8587,The Lion King,1994-06-24,en,8.256,18338,224.66,89,False,"Family, Animation, Drama","Young lion prince Simba flees when his father is killed by his usurper uncle. Years after the betrayal and tragedy, a grown-up and mature Simba returns to claim his rightful place on the throne."
